,Unnamed: 0,title,description,text,topic
0,0,[VAULT] Accès depuis namespace KubeProd projet-std,"# Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [x] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-std

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

-  https://vault-prod-dc1.insee.fr/v1/secrets-prodinterne/data/ap/std/equipe/OBSERVABILITE/dc1/pod1

---","[VAULT] Accès depuis namespace KubeProd projet-std # Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [x] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-std

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

-  https://vault-prod-dc1.insee.fr/v1/secrets-prodinterne/data/ap/std/equipe/OBSERVABILITE/dc1/pod1

---",-1
1,1,Nouveau namespace KubeProd : role Vault,"# Demande d'accès à des secrets Vault depuis un namespace Kube

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [x] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [x] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-std

## Chemins des secrets requis :

- aucun

---","Nouveau namespace KubeProd : role Vault # Demande d'accès à des secrets Vault depuis un namespace Kube

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [x] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [x] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-std

## Chemins des secrets requis :

- aucun

---",23
2,2,[insee.fr] Ajout d'URL supplémentaires dans un client Keycloak existant,"## Demande de création d'un client Keycloak

### Documentation:

- [Documentation Keycloak](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/)
- [Règles relatives aux clients](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/Regles/Clients/)
- [Règles relatives aux scopes](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/Regles/Scopes/)

## Role de client :

 1. [ ] Authentification utilisateur depuis une application éxécutée côté serveur (notamment : tomcat, apache en reverse-proxy authentifiant)
 2. [x] Authentification client depuis une application éxécuté côté navigateur (type javascript Y COMPRIS SWAGGER)
 3. [ ] Compte de service (connexion à une api protégée par OIDC depuis un batch ou une autre API)

(Les api n'ont pas besoins de client déclarés sur keycloak autre que pour l'usage du swagger)

## Instance de keycloak concernée :

- [ ] auth.insee.test (qf z50)
- [x] auth.insee.fr (prod z50)
- [ ] beta.auth.insee.net (beta z0)
- [x] auth.insee.net (prod z0)
- [ ] auth.le-recensement-et-moi.fr (RP z0)
- [ ] auth.insee.rie.gouv.fr (prod z25) 
- [ ] auth.mgmt2.kube.adsia.sia.priv (qf z100)
- [ ] auth.mgmt1.kube.adsia.sia.priv (prod z100)

## Realm :

- agents-insee-interne

## Nom souhaité du client :
*(nom de l'application, dans le cas 3. le compte sera suffixé par ""-service"")*

- webinsee-smart-router

## Urls de redirection (pour les cas 1. et 2.) :

En complément de celles déjà existantes pour la préprod :

- https://api-aiguillage-interne.insee.fr/ (pour **auth.insee.fr**)
- https://api-aiguillage-externe.insee.fr/ (pour **auth.insee.net**)

## Quartier et application Vault pour l'écriture du secret (cas 1 et 3)

Sauf indication contraire, le secret sera écrit dans le vault indiqué dans le chemin:

`secret-<horsprod|prodinterne|dmz>/<quartier>/<appli>/equipe/IAHS/keycloak/<realm>/<nom_du_client>` dans la clé `client_secret`

(cf. [documentation](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/Regles/Clients/#transmission-du-secret))

- vault
  - [ ] vault-horsprod
  - [ ] vault-prod
  - [ ] vault-dmz
- quartier:
  - =>
- appli:
  - =>


---","[insee.fr] Ajout d'URL supplémentaires dans un client Keycloak existant ## Demande de création d'un client Keycloak

### Documentation:

- [Documentation Keycloak](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/)
- [Règles relatives aux clients](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/Regles/Clients/)
- [Règles relatives aux scopes](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/Regles/Scopes/)

## Role de client :

 1. [ ] Authentification utilisateur depuis une application éxécutée côté serveur (notamment : tomcat, apache en reverse-proxy authentifiant)
 2. [x] Authentification client depuis une application éxécuté côté navigateur (type javascript Y COMPRIS SWAGGER)
 3. [ ] Compte de service (connexion à une api protégée par OIDC depuis un batch ou une autre API)

(Les api n'ont pas besoins de client déclarés sur keycloak autre que pour l'usage du swagger)

## Instance de keycloak concernée :

- [ ] auth.insee.test (qf z50)
- [x] auth.insee.fr (prod z50)
- [ ] beta.auth.insee.net (beta z0)
- [x] auth.insee.net (prod z0)
- [ ] auth.le-recensement-et-moi.fr (RP z0)
- [ ] auth.insee.rie.gouv.fr (prod z25) 
- [ ] auth.mgmt2.kube.adsia.sia.priv (qf z100)
- [ ] auth.mgmt1.kube.adsia.sia.priv (prod z100)

## Realm :

- agents-insee-interne

## Nom souhaité du client :
*(nom de l'application, dans le cas 3. le compte sera suffixé par ""-service"")*

- webinsee-smart-router

## Urls de redirection (pour les cas 1. et 2.) :

En complément de celles déjà existantes pour la préprod :

- https://api-aiguillage-interne.insee.fr/ (pour **auth.insee.fr**)
- https://api-aiguillage-externe.insee.fr/ (pour **auth.insee.net**)

## Quartier et application Vault pour l'écriture du secret (cas 1 et 3)

Sauf indication contraire, le secret sera écrit dans le vault indiqué dans le chemin:

`secret-<horsprod|prodinterne|dmz>/<quartier>/<appli>/equipe/IAHS/keycloak/<realm>/<nom_du_client>` dans la clé `client_secret`

(cf. [documentation](https://iahs.gitlab-pages.insee.fr/Authentification/Keycloak/Regles/Clients/#transmission-du-secret))

- vault
  - [ ] vault-horsprod
  - [ ] vault-prod
  - [ ] vault-dmz
- quartier:
  - =>
- appli:
  - =>


---",2
3,3,[SUGOI] Création d'application / reconnaissance-professionnelle,"# [SUGOI] Demande pour la création d'une application dans Sugoi

- Nom souhaité de l'application (sans accent): 
  - `reconnaissance-professionnelle`

- **adresse mail de contact (BALF):**
  - `dg75-dsi-domaine-sg@insee.fr` 

- instance de SUGOI:
  - [X] [Hors-prod](https://gestion-comptes-utilisateurs.recette.insee.fr)
  - [X] [Prod](https://gestion-comptes-utilisateurs.insee.fr)
  - [X] [avec réplication vers la DMZ](https://comptes-utilisateurs.insee.fr)
  - [ ] [avec réplication vers la DMZ recette](https://comptes-utilisateurs.recette.insee.fr)
- realm (par défaut SSP): 
  - ` `

- Idep à ajouter dans le groupe admin ``ASI_appli``, permettant de créer des groupes applicatifs et de les peupler :
  - `B5GYC7`, `PL50HM`, `C0I8ZF`","[SUGOI] Création d'application / reconnaissance-professionnelle # [SUGOI] Demande pour la création d'une application dans Sugoi

- Nom souhaité de l'application (sans accent): 
  - `reconnaissance-professionnelle`

- **adresse mail de contact (BALF):**
  - `dg75-dsi-domaine-sg@insee.fr` 

- instance de SUGOI:
  - [X] [Hors-prod](https://gestion-comptes-utilisateurs.recette.insee.fr)
  - [X] [Prod](https://gestion-comptes-utilisateurs.insee.fr)
  - [X] [avec réplication vers la DMZ](https://comptes-utilisateurs.insee.fr)
  - [ ] [avec réplication vers la DMZ recette](https://comptes-utilisateurs.recette.insee.fr)
- realm (par défaut SSP): 
  - ` `

- Idep à ajouter dans le groupe admin ``ASI_appli``, permettant de créer des groupes applicatifs et de les peupler :
  - `B5GYC7`, `PL50HM`, `C0I8ZF`",18
4,4,[VAULT] Accès depuis namespace KubeDMZ projet-std,"# Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [ ] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [x] Kubedmz

## Nom du namespace :

-  projet-std 

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

- ap/std/equipe/OBSERVABILITE/dc1/pod1

---","[VAULT] Accès depuis namespace KubeDMZ projet-std # Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [ ] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [x] Kubedmz

## Nom du namespace :

-  projet-std 

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

- ap/std/equipe/OBSERVABILITE/dc1/pod1

---",-1
5,5,[VAULT] Accès depuis namespace Kube projet-sonar,"# Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [X] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [ ] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-sonar

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

- ap/sonar

---","[VAULT] Accès depuis namespace Kube projet-sonar # Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [X] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [ ] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-sonar

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

- ap/sonar

---",-1
6,6,[VAULT] Droits d'accès sur Vault Sonar,"# Demande d'accès à Vault pour une équipe applicative

L'accès mis en place est détaillé ici: [Gestion des secrets du coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/)

Le role sera de la forme dev_\<quartier\>-\<application\> (ex: dev_ap-gitlab) et accessible aux membres du groupe SUGOI indiqué 

---

## Application

- Quartier: Sonar
- Nom de l'application: 
- Groupe SUGOI:
  - [ ] à créer
  - [X] existant dev_gestion_secrets_SONAR
  
## Environnement: 

- [X] Vault horsprod (secrets-horsprod)
- [X] Vault prod (secrets-prodinterne)
- [ ] Vault dmz (secrets-dmz)

- Quartier AP
---","[VAULT] Droits d'accès sur Vault Sonar # Demande d'accès à Vault pour une équipe applicative

L'accès mis en place est détaillé ici: [Gestion des secrets du coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/)

Le role sera de la forme dev_\<quartier\>-\<application\> (ex: dev_ap-gitlab) et accessible aux membres du groupe SUGOI indiqué 

---

## Application

- Quartier: Sonar
- Nom de l'application: 
- Groupe SUGOI:
  - [ ] à créer
  - [X] existant dev_gestion_secrets_SONAR
  
## Environnement: 

- [X] Vault horsprod (secrets-horsprod)
- [X] Vault prod (secrets-prodinterne)
- [ ] Vault dmz (secrets-dmz)

- Quartier AP
---",9
7,7,Suppression de 6 urls,"Service concerné (Vault, keycloak, sugoi, AD, ...) :

keycloak auth.insee.fr (prod z50)

Description de la demande :

Réponse à la demande de Yannick Colombel [Insee]
Par contre il faudrait peut être regardé toutes les urls déclarés car on a des
https://services.declaration.sirene.insee.f, https://services-declaration.sirene.insee.fr
plus de 50 urls","Suppression de 6 urls Service concerné (Vault, keycloak, sugoi, AD, ...) :

keycloak auth.insee.fr (prod z50)

Description de la demande :

Réponse à la demande de Yannick Colombel [Insee]
Par contre il faudrait peut être regardé toutes les urls déclarés car on a des
https://services.declaration.sirene.insee.f, https://services-declaration.sirene.insee.fr
plus de 50 urls",-1
8,8,Accès à Vault depuis le namespace de KubeDev : projet-archi-iag,"# Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [x] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [ ] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-archi-iag

## Chemins des secrets requis :

secret-horsprod/kubedev/projet-archi-iag/

(J'aimerai pouvoir créer des secrets dedans) 

---","Accès à Vault depuis le namespace de KubeDev : projet-archi-iag # Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [x] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [ ] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [ ] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

-  projet-archi-iag

## Chemins des secrets requis :

secret-horsprod/kubedev/projet-archi-iag/

(J'aimerai pouvoir créer des secrets dedans) 

---",-1
9,9,Nouveau namespace KubeProd : role vault,"# Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [x] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [x] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

- projet-surfkeeper

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

- 

---","Nouveau namespace KubeProd : role vault # Demande d'accès à des secrets Vault depuis un namespace Kube

Consultez:
- la documentation KubeApp [sur la configuration Kube nécessaire](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/recuperation_secrets/)
- la documentation IAHS [sur les droits associés à cet accès](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Acc%C3%A8s-Kube/)

/!\ _Lors de la création des droits, il n'y a pas de création de l'arborescence. Celle-ci est créée lors de la création d'un premier secret.
Il est donc normal à l'initialisation des droits de ne pas trouver le(s) dossier(s) `equipe/dev_*/` ou `<cluster>/<namespace>/*`_ /!\

## Environnement(s): 

**Vault horsprod:**
- [ ] Kubedev

**Vault prod:**
- [ ] Kubepreprod
- [x] Kubeprod
    
**Vault dmz:**
- [ ] Kubepreprod
- [x] Kubeprod
- [ ] Kubeppdmz
- [ ] Kubedmz

## Nom du namespace :

- projet-surfkeeper

## Chemins des secrets requis :

> _sous la forme:_ 
>
> ```<quartier>/<applicatif>``` pour le [coffre exploitant](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/Le%20coffre%20exploitant/Coffre-exploitant/) (secrets-[horsprod|prodinterne|dmz])
>
> _ex:_ ```rh/mouvin```
>
> ```<nom-du-coffre>``` pour les [coffres produit](https://iahs.gitlab-pages.insee.fr/Gestion_Secrets/#coffres-produit)
>
> _ex:_ ```resil```

- 

---",17
