;title;description
0;[STD] namespace PROD;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubeProd
- Nom du namespace : projet-std
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/echanges-externes/kubeprod
- timbre de la division métier propriétaire de l'application déployée : DR67-SNSSI57
- timbre de l'équipe de maintenance : DR67-SNSSI57
- Adresse mail de l'équipe pour envoi des alertes : dsi-transfert-donnees@insee.fr
- quartier de l'application déployée dans ce namespace : ap
- liste idep à ajouter sur sugoi pour l'initialisation : HEXUQJ, EY9CCT, AHZRAP, ARX5XR, YN7DIV, OM18UW, GBHDL3
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m 
        - limits :1000m
    - mémoire :
        - requests : 100Mi
        - limits : 1Gi
    - Storage :
        - requests : 50Mi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 100Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [ ] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
1;[KubePP][AM3DS-DSN] Dégradation des performances;"## Résumé

- Description : Performance très variables sur la plateforme
- Impact utilisateur : Fort

## Détails utiles

- Namespace : projet-am3ds-dsn
- Application/Pod : arc-quotidien-pp-...-arcbatch
- Logs utiles : 
- court :
https://grafana.pp-application1.kube.insee.fr/d/c7e1520e-1a25-4d1d-b1cc-a84be2c6d6db/observabilite-globale?orgId=51&from=2026-02-26T15:35:00.000Z&to=2026-02-26T15:56:00.000Z&timezone=browser&var-namespace=$__all&var-pod=$__all&var-finder=&var-loki=ceyju096lnt34f&var-prometheus=deyju0azy06psa&var-pvc=$__all

- long
https://grafana.pp-application1.kube.insee.fr/d/c7e1520e-1a25-4d1d-b1cc-a84be2c6d6db/observabilite-globale?orgId=51&from=2026-02-26T09:30:38.000Z&to=2026-02-26T10:15:00.000Z&timezone=browser&var-namespace=$__all&var-pod=$__all&var-finder=&var-loki=ceyju096lnt34f&var-prometheus=deyju0azy06psa&var-pvc=$__all

- Métriques utiles : 
- Incidents similaires : 

## Historique

- AAAA-MM-JJ HHhmm : 2026-02-26 14:00
- ... : ...
- ... : Rétablissement du service en ...
- ... : Correction pérenne"
2;[KubeDMZ]ajustement limits projet-iahs-keycloak-x509;"En tant que IAHS, je souhaite augmenter les limits du namespace projet-iahs-keycloak-x509.

- ephemeral storage: 4Gi
- memory: 5Gi

<!-- Utiliser les tâches pour découper en sous-élements -->

Définition du DONE:

*"
3;[NAMESPACE] Création d'un nouveau namespace;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubeDev
- Nom du namespace : reconnaissance-professionnelle
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/ressources-humaines/outils/rh-deploy
- timbre de la division métier propriétaire de l'application déployée : DG75-C510
- timbre de l'équipe de maintenance : DG75-D280
- Adresse mail de l'équipe pour envoi des alertes : dg75-dsi-domaine-sg@insee.fr
- quartier de l'application déployée dans ce namespace : RH
- liste idep à ajouter sur sugoi pour l'initialisation : B5GYC7, PL50HM, C0I8ZF
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 20
    - Nombre de cpu :
        - requests : 2
        - limits : 12
    - mémoire :
        - requests : 2Gi
        - limits : 8Gi
    - Storage :
        - requests : 100Mi
    - Ephemeral Storage :
        - requests : 100Mi
        - limits : 1000Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [x] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
4;[Melodi/DTPF] Lenteurs en préprod DMZ;"## Résumé

- Description :

Depuis ce matin en préprod DMZ de Melodi, nos utilisateurs constatent des instabilités/lenteurs. Par exemple sur [cette page](https://catalogue-donnees.preprod.insee.fr/fr/explorateur/DS_RP_TD_LOGEMENT_CARACT_PRINC_PFD), la page peut soit s'afficher rapidement, soit s'afficher lentement, soit afficher une erreur serveur générique, soit afficher une erreur ""request timeout"". Personnellement je ne constate pas d'erreur serveur sur cette page, mais la plupart des utilisateurs semblent le constater.

Nous n'avons pas changé la configuration en pp depuis lundi 23/02.

- Impact utilisateur : Moyen (nos utilisateurs se servent de la préprod pour prévisualiser les produits qu'ils veulent ensuite mettre en ligne en prod)

## Détails utiles

- Namespace : projet-plateforme-de-donnees et projet-melodi
- Application/Pod : metadonnees-fo (de projet-plateforme-de-donnees-ppdmz) et melodi-donnees-fo (de projet-melodi-ppdmz)
- Logs utiles :
- Métriques utiles :
- Incidents similaires :

## Historique

- 2026-02-26 matin : Début de l'incident"
5;Namespace pour SOC : surfkeeper;"Demande de création de namespace

## Informations

- cluster concerné KubeProd
- Nom du namespace : surfkeeper
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/soc/surfkeeper
- timbre de la division métier propriétaire de l'application déployée : SOC
- timbre de l'équipe de maintenance : SOC
- Adresse mail de l'équipe pour envoi des alertes : soc@insee.fr
- quartier de l'application déployée dans ce namespace : UT
- liste idep à ajouter sur sugoi pour l'initialisation : ZUUEQG POJPGG YIHGVZ KY4K4S CEPPNB V0VNLC
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 5
    - Nombre de cpu :
        - requests : 100m 
        - limits :1000m
    - mémoire :
        - requests : 128Mi
        - limits : 256Mi
    - Storage :
        - requests : 50Mi
    - Ephemeral Storage :
        - requests : 1Mi
        - limits : 10Mi

- [X] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [X] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [X] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace

Merci <3"
6;Tulia;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : 
- Nom du namespace : tulia
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/r9554e/gitops
- timbre de la division métier propriétaire de l'application déployée : DG75-D210
- timbre de l'équipe de maintenance : DG75-D210
- Adresse mail de l'équipe pour envoi des alertes : rodolphe.nargeot@insee.fr
- quartier de l'application déployée dans ce namespace : ut
- liste idep à ajouter sur sugoi pour l'initialisation : R9554E E1RJF
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m 
        - limits :1000m
    - mémoire :
        - requests : 100Mi
        - limits : 1Gi
    - Storage :
        - requests : 50Mi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 100Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [x] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
7;[Sirdali][KubeProd] Erreurs lors de l'utilisation de S3;"## Résumé

- Description : Le batch d'Arc rencontre régulièrement des erreurs d'écritures sur S3
- Impact utilisateur : Fort

## Détails utiles

- Namespace : projet-am3ds
- Application/Pod : Arc / chargement-arc-quotidien-pd-sans-applishare-...
- Logs utiles : 
```
1770973627268	2026-02-13T09:07:07.268Z	ERROR 13 Feb 2026 10:07:07,267 - -  - S3Template:53   -
1770973627268	2026-02-13T09:07:07.268Z	io.minio.errors.ErrorResponseException: Resource requested is unreadable, please reduce your request rate
1770973627268	2026-02-13T09:07:07.268Z		at io.minio.S3Base$1.onResponse(S3Base.java:803)
1770973627268	2026-02-13T09:07:07.268Z		at io.minio.S3Base$1.onResponse(S3Base.java:639)
1770973627268	2026-02-13T09:07:07.268Z		at okhttp3.internal.connection.RealCall$AsyncCall.run(RealCall.kt:532)
1770973627268	2026-02-13T09:07:07.268Z		at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
1770973627268	2026-02-13T09:07:07.268Z		at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
1770973627268	2026-02-13T09:07:07.268Z		at java.base/java.lang.Thread.run(Unknown Source)
```
```
1771318504980	2026-02-17T08:55:04.980Z	ERROR 17 Feb 2026 09:55:04,979 - -  - S3Template:53   -
1771318504981	2026-02-17T08:55:04.981Z	io.minio.errors.ErrorResponseException: Resource requested is unreadable, please reduce your request rate
1771318504981	2026-02-17T08:55:04.981Z		at io.minio.S3Base$1.onResponse(S3Base.java:803)
1771318504981	2026-02-17T08:55:04.981Z		at io.minio.S3Base$1.onResponse(S3Base.java:639)
1771318504981	2026-02-17T08:55:04.981Z		at okhttp3.internal.connection.RealCall$AsyncCall.run(RealCall.kt:532)
1771318504981	2026-02-17T08:55:04.981Z		at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
1771318504981	2026-02-17T08:55:04.981Z		at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
1771318504981	2026-02-17T08:55:04.981Z		at java.base/java.lang.Thread.run(Unknown Source)
```
- Métriques utiles : 
- Incidents similaires : 
On a constaté ce problème lors de différents chargements d'Arc : pour les fichiers FIP5 (13/01/2026), les fichiers FIP6 (03/02/2026), les fichiers KA (13/02/2026), les fichiers FIP3 (17/02/2026).

cc @z84h10, @tyvww4, @q0u36z, @fy2qeq

## Historique

- AAAA-MM-JJ HHhmm : Début de l'incident
- ... : ...
- ... : Rétablissement du service en ...
- ... : Correction pérenne"
8;[KubeDev][CICLAD] Renommage de namespace;"Il a été décidé que CICLAD sera une application à part entière, plutôt qu'une sous application de homere.

Il faut donc renommer le namespace **projet-homere** en **projet-ciclad**

Pouvez-vous créer un nouveau namespace (avec bucket s3) projet-ciclad à l'identique du projet-homere ? Sauf pour le dépôt gitops : https://gitlab.insee.fr/rp/deploiements/ciclad-deploiement au lieu de https://gitlab.insee.fr/rp/deploiements/homere-deploiement

Le dépôt n'existe pas encore je vais renommer l'ancien une fois que le namespace sera créé.

Merci d'avance !"
9;[insee.fr-WIP] Création de namespace en Prod et DMZ;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubeProd et KubeDMZ
- Nom du namespace : projet-web-insee-plus
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/diffusion/web4g-melodi/web-insee-plus/gitops
- timbre de la division métier propriétaire de l'application déployée : DG75-H250
- timbre de l'équipe de maintenance : DG75-D280
- Adresse mail de l'équipe pour envoi des alertes : dg75-dsi-domaine-diffusion@insee.fr
- quartier de l'application déployée dans ce namespace : df
- liste idep à ajouter sur sugoi pour l'initialisation : LPKYSU, RUV0P2, DPRRDA, IXE5KA, T5WEU0, WUFJQR, FOZAKH, XOBLVH

- Ressources nécessaires sur KubeProd :
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 16 
        - limits : 8
    - mémoire :
        - requests : 32Gi
        - limits : 16Gi
    - Storage :
        - requests : 1Gi
    - Ephemeral Storage :
        - requests : 256Mi
        - limits : 2Gi

- Ressources nécessaires sur KubeDMZ :
    - Nombre max de pods autorisés sur le namespace : 80
    - Nombre de cpu :
        - requests : 32 
        - limits : 16
    - mémoire :
        - requests : 64Gi
        - limits : 32Gi
    - Storage :
        - requests : 1Gi
    - Ephemeral Storage :
        - requests : 256Mi
        - limits : 2Gi

- Informations complémentaires (Vault, MinIo ...) :
Groupe Vault : dv_df-wip
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [X] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [X] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [X] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
